sample #,time elapsed,period
1,3.5762786865234375e-06,0.000275846621185481
2,300.3301930427551,0.000276967402435481
3,600.6769766807556,0.000276910122162043
4,901.0562055110931,0.000276954941497981
5,1201.358782529831,0.000276582817474543
6,1501.7169308662415,0.000276752070404231
7,1802.057725429535,0.000276655258880793
8,2102.3841938972473,0.000276418232513606
9,2402.733171224594,0.000276332114349543
10,2703.0805616378784,0.000276900971771418
11,3003.387717485428,0.000277002133880793
12,3303.752149581909,0.000276750454193293
13,3604.0868701934814,0.000276579946380793
14,3904.4084479808807,0.000276476098724543
15,4204.748088598251,0.000276607172943293
16,4505.091515302658,0.000276582763763606
17,4805.438584327698,0.000276806806732356
18,5105.790026664734,0.000276623491302668
19,5406.127536535263,0.000276707285247981
20,5706.471647977829,0.000276650957122981
21,6006.807188749313,0.000276501919037043
22,6307.173227071762,0.000276571450287043
23,6607.5187730789185,0.000276603828216731
24,6907.889471292496,0.000276591840912043
25,7208.247742891312,0.000276568628021418
26,7508.612599372864,0.000276517006927668
27,7808.955663204193,0.000276568964935481
28,8109.327789783478,0.000276506430755793
29,8409.698076248169,0.000276491137787043
30,8710.02488732338,0.000276536806732356
31,9010.372153520584,0.000276428510833918
32,9310.728363513947,0.000276417846771418
33,9610.995969772339,0.000276453486419856
34,9911.32366013527,0.000276495683685481
35,10211.603954792023,0.000276541240326106
36,10511.969529390335,0.000276543183685481
37,10812.311194181442,0.000276544897552668
38,11112.69147324562,0.000276526347747981
39,11413.067284822464,0.000276572890716731
40,11713.312119722366,0.000276482485443293
41,12013.612331867218,0.000276575273529231
42,12313.859949588776,0.000276879223724543
43,12614.211317777634,0.000276514101654231
44,12914.584185123444,0.000277641870208918
45,13214.87383890152,0.000276487529388606
46,13515.201226472855,0.000276116723724543
47,13815.574874401093,0.000276505009857356
48,14115.933282852173,0.000276534394622981
49,14416.205337047577,0.000276525376068293
50,14716.574426651001,0.000276441670013606
51,15016.943508148193,0.000276420102630793
52,15317.30794262886,0.000276407446380793
53,15617.650475978851,0.000277224282318293
54,15918.012838363647,0.000276385932708918
55,16218.376989603043,0.000276408354583918
56,16518.72597837448,0.000276473090912043
57,16819.097343683243,0.000276378960052668
58,17119.457126379013,0.000276386372162043
59,17419.833670139313,0.000276422812591731
60,17720.193335056305,0.000276373496185481
61,18020.569700956345,0.000276417085052668
62,18320.916369199753,0.000277722905365168
63,18621.263811826706,0.000276411845794856
64,18921.629409313202,0.000276305610443293
65,19221.974291086197,0.000276379111419856
66,19522.332670211792,0.000276362080169856
67,19822.692450523376,0.000276415141693293
68,20123.05491900444,0.000276444111419856
69,20423.398186922073,0.000276411879974543
70,20723.759828329086,0.000276356030365168
71,21024.105425596237,0.000276415190521418
72,21324.461936950684,0.000276342158294856
73,21624.814475774765,0.000276346113372981
74,21925.15826678276,0.000276401875091731
75,22225.506165981293,0.000275967817474543
76,22525.849994897842,0.000276374248138606
77,22826.197557210922,0.000276332597747981
78,23126.528497695923,0.000276393325287043
79,23426.871479988098,0.000276542504974543
80,23727.17953801155,0.000276561254974543
81,24027.49684214592,0.000276439668060481
82,24327.805522441864,0.000276469428802668
83,24628.130979537964,0.000276402226654231
84,24928.476532936096,0.000276483852630793
85,25228.817522764206,0.000276292231537043
86,25529.160514354706,0.000276492387787043
87,25829.507758378983,0.000276499316497981
88,26129.8222284317,0.000277442070404231
89,26430.13263630867,0.000276707524505793
90,26730.457532644272,0.000276505371185481
91,27030.77947998047,0.000276563437591731
92,27331.107592344284,0.000276505420013606
93,27631.43105149269,0.000276632172943293
94,27931.742664813995,0.000276794951263606
95,28232.067148685455,0.000276839121185481
96,28532.37280035019,0.000276564448333918
97,28832.689861536026,0.000276694155365168
98,29133.008606910706,0.000276674511810481
99,29433.34973859787,0.000277151757904231
100,29733.664762735367,0.000276545844818293
101,30033.99185371399,0.000276883901458918
102,30334.2982006073,0.000277679028412043
103,30634.62536430359,0.000276957944427668
104,30934.926725387573,0.000277224975677668
105,31235.2374253273,0.000276973945404231
106,31535.581463336945,0.000278301220794856
107,31835.893794298172,0.000277247631927668
108,32136.216907978058,0.000277261596771418
109,32436.53251004219,0.000277215551849543
110,32736.87294816971,0.000277264077240168
111,33037.19432616234,0.000277389316497981
112,33337.50449514389,0.000277336469818293
113,33637.82706236839,0.000277427348724543
114,33938.20119142532,0.000277331342865168
115,34238.51163935661,0.000277262070404231
116,34538.817725896835,0.000277347641693293
117,34839.11426997185,0.000277342417083918
118,35139.42740011215,0.000277243349701106
119,35439.71029520035,0.000277309672943293
120,35740.043499708176,0.000277247915130793
121,36040.35793495178,0.000277188359466731
122,36340.678418159485,0.000277220673919856
123,36640.98833703995,0.000277232309662043
124,36941.30867052078,0.000277119878021418
125,37241.62990283966,0.000276899189544856
126,37541.927059173584,0.000277224091888606
127,37842.25177240372,0.000277193774505793
128,38142.5647816658,0.000277215615326106
129,38442.9084815979,0.000277215337005793
130,38743.24789810181,0.000277232905365168
131,39043.57960319519,0.000277203369232356
132,39343.89351439476,0.000277290004974543
133,39644.20994925499,0.000277307109466731
134,39944.53421115875,0.000277260595794856
135,40244.843564510345,0.000277325141693293
136,40545.13913941383,0.000277264096771418
137,40845.4810154438,0.000277330048919856
138,41145.7839615345,0.000277395654388606
139,41446.07670354843,0.000277304760833918
140,41746.368483543396,0.000277233920990168
141,42046.694108486176,0.000278922690521418
142,42346.98211503029,0.000277409316497981
143,42647.27949166298,0.000277317890716731
144,42947.56638145447,0.000277219604583918
145,43247.93829417229,0.000277368769622981
146,43548.32788228989,0.000277358754974543
